Show,This Week GrossPotential Gross,Diff $,Avg TicketTop Ticket,Seats SoldSeats in Theatre,PerfsPreviews,% Cap,Diff % cap,Week Ending,TonyNominatedMusical,Theater
Home,99866.0,"$33,796.40",$27.53$0.00,"3,628740",7,70.04,-5.46,2024-05-26,False,Todd Haimes Theatre
Illinoise,720408.55,"-$96,070.30",$88.07$0.00,"8,1801,337",70,87.4,-2.96,2024-05-26,True,St. James Theatre
The Lion King,2220841.55,"$190,426.05",$170.55$277.00,"13,0221,696",80,95.98,-0.4,2024-05-26,True,Minskoff Theatre
Mary Jane,491146.0,"-$6,776.00",$100.07$299.00,"4,908643",80,95.41,-1.52,2024-05-26,False,Samuel J. Friedman Theatre
Merrily We Roll Along,1612607.0,"$29,688.00",$208.67$649.00,"7,728966",80,100.0,0.0,2024-05-26,False,Hudson Theatre
MJ The Musical,1500184.5,"-$23,695.25",$143.83$329.00,"10,4301,387",80,94.0,-0.63,2024-05-26,False,Neil Simon Theatre
Mother Play,451737.0,"-$186,154.00",$134.25$297.00,"3,365581",60,96.53,-1.88,2024-05-26,False,Helen Hayes Theater
Moulin Rouge! The Musical,1112590.68,"-$60,051.80",$109.14$0.00,"10,1941,300",80,98.02,-1.14,2024-05-26,True,Al Hirschfeld Theatre
The Notebook,720654.4,"-$64,282.80",$98.18$323.00,"7,3401,017",80,90.22,1.45,2024-05-26,False,Gerald Schoenfeld Theatre
The Outsiders,1023984.51,"$33,983.96",$122.35$278.00,"8,3691,024",80,102.16,1.19,2024-05-26,True,Bernard B. Jacobs Theatre
Patriots,337099.85,"-$55,350.45",$59.52$273.00,"5,6641,035",80,68.41,1.48,2024-05-26,False,Ethel Barrymore Theatre
SIX: The Musical,878704.3,"$34,016.10",$116.86$249.00,"7,5191,031",80,91.16,-0.4,2024-05-26,False,Lena Horne Theatre
Stereophonic,784151.2,"$3,285.72",$126.60$348.00,"6,194778",80,99.52,0.05,2024-05-26,False,John Golden Theatre
Suffs,758495.15,"-$61,727.40",$102.47$278.00,"7,402973",80,95.09,2.17,2024-05-26,False,Music Box Theatre
Uncle Vanya,1002721.0,"-$50,441.00",$125.42$299.00,"7,9951,047",80,95.45,-2.16,2024-05-26,False,Vivian Beaumont Theater
Water For Elephants,1028450.35,"-$73,168.80",$106.00$278.00,"9,7021,385",80,87.56,3.06,2024-05-26,False,Imperial Theatre
The Who's Tommy,838727.75,"-$130,666.50",$112.45$299.00,"7,4591,175",80,79.35,-2.25,2024-05-26,True,Nederlander Theatre
Wicked,2003492.0,"$156,449.00",$134.35$275.00,"14,9121,867",80,99.87,2.66,2024-05-26,True,Gershwin Theatre
The Wiz,1475931.55,"-$21,375.15",$119.06$399.00,"12,3971,600",80,96.85,1.35,2024-05-26,True,Marquis Theatre
Aladdin,1311449.6,"-$44,965.60",$105.07$199.50,"12,4821,727",80,90.34,-3.38,2024-06-02,True,New Amsterdam Theatre
Appropriate,748183.7,"-$19,777.80",$127.46$328.00,"5,870813",80,90.25,-6.97,2024-06-02,False,Belasco Theatre
Back To The Future,956611.57,"-$70,004.68",$99.61$267.00,"9,6041,478",80,81.22,-14.26,2024-06-02,False,Winter Garden Theatre
"A Beautiful Noise, The Neil Diamond Musical",803262.76,"-$33,728.78",$154.41$348.00,"5,2021,153",80,56.4,-9.71,2024-06-02,False,Broadhurst Theatre
Ben Platt: Live at the Palace,650305.9,$0.00,$89.10$349.00,"7,2991,647",60,73.86,0.0,2024-06-02,False,Palace Theatre
The Book of Mormon,837957.28,"-$144,801.18",$107.61$0.00,"7,7871,066",80,91.31,-5.04,2024-06-02,False,Eugene O'Neill Theatre
Cabaret,1864257.45,"$142,497.55",$219.56$0.00,"8,4911,070",80,99.19,-0.77,2024-06-02,True,August Wilson Theatre
Chicago,549246.75,"-$78,914.86",$99.99$237.00,"5,4931,080",80,63.58,-7.38,2024-06-02,True,Ambassador Theatre
An Enemy of the People,1045495.5,$564.70,$153.16$480.00,"6,826828",80,103.05,0.12,2024-06-02,False,Circle in the Square Theatre
The Great Gatsby,1103463.36,"-$77,364.39",$105.92$277.00,"10,4181,485",80,87.69,-5.57,2024-06-02,False,Broadway Theatre
Hadestown,828587.75,"-$89,990.10",$115.79$0.00,"7,156918",80,97.44,-2.59,2024-06-02,False,Walter Kerr Theatre
Hamilton,1881810.25,"$77,589.75",$181.38$399.00,"10,3751,324",80,97.95,-2.38,2024-06-02,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1079055.2,"-$143,618.80",$96.43$299.00,"11,1901,622",80,86.24,4.0,2024-06-02,False,Lyric Theatre
The Heart of Rock and Roll,257486.9,"-$52,186.30",$52.37$267.00,"4,9171,054",80,58.31,-6.18,2024-06-02,False,James Earl Jones Theatre
Hell's Kitchen,1560250.8,"$5,833.35",$133.03$323.00,"11,7291,457",80,100.63,-0.22,2024-06-02,True,Sam S. Shubert Theatre
Home,116448.0,"$16,582.00",$26.51$248.00,"4,393740",8,74.21,4.17,2024-06-02,False,Todd Haimes Theatre
Illinoise,702010.75,"-$18,397.80",$90.47$0.00,"7,7601,337",70,82.91,-4.49,2024-06-02,True,St. James Theatre
The Lion King,2084038.65,"-$136,802.90",$166.68$277.00,"12,5031,696",80,92.15,-3.83,2024-06-02,True,Minskoff Theatre
Mary Jane,461444.0,"-$29,702.00",$100.40$299.00,"4,596643",80,89.35,-6.06,2024-06-02,False,Samuel J. Friedman Theatre
Merrily We Roll Along,1148603.2,"-$464,003.80",$148.63$649.00,"7,728966",80,100.0,0.0,2024-06-02,False,Hudson Theatre
MJ The Musical,1239241.0,"-$260,943.50",$130.35$329.00,"9,5071,387",80,85.68,-8.32,2024-06-02,False,Neil Simon Theatre
Mother Play,528216.0,"$76,479.00",$142.68$297.00,"3,702581",70,91.03,-5.5,2024-06-02,False,Helen Hayes Theater
Moulin Rouge! The Musical,960492.32,"-$152,098.36",$98.84$0.00,"9,7181,300",80,93.44,-4.58,2024-06-02,True,Al Hirschfeld Theatre
The Notebook,667480.5,"-$53,173.90",$100.12$323.00,"6,6671,017",80,81.94,-8.28,2024-06-02,False,Gerald Schoenfeld Theatre
The Outsiders,1024250.05,$265.54,$124.21$278.00,"8,2461,024",80,100.66,-1.5,2024-06-02,True,Bernard B. Jacobs Theatre
Patriots,280677.3,"-$56,422.55",$58.47$273.00,"4,8001,035",80,57.97,-10.44,2024-06-02,False,Ethel Barrymore Theatre
SIX: The Musical,811652.6,"-$67,051.70",$109.71$249.00,"7,3981,031",80,89.69,-1.47,2024-06-02,False,Lena Horne Theatre
Stereophonic,824835.1,"$40,683.90",$134.38$348.00,"6,138778",80,98.62,-0.9,2024-06-02,False,John Golden Theatre
Suffs,759266.51,$771.36,$107.76$278.00,"7,046973",80,90.52,-4.57,2024-06-02,False,Music Box Theatre
Uncle Vanya,734380.0,"-$268,341.00",$118.18$299.00,"6,2141,047",80,74.19,-21.26,2024-06-02,False,Vivian Beaumont Theater
Water For Elephants,964730.6,"-$63,719.75",$109.80$278.00,"8,7861,385",80,79.3,-8.26,2024-06-02,False,Imperial Theatre
The Who's Tommy,741127.01,"-$97,600.74",$108.04$299.00,"6,8601,175",80,72.98,-6.37,2024-06-02,True,Nederlander Theatre
Wicked,1981260.0,"-$22,232.00",$134.26$275.00,"14,7571,867",80,98.83,-1.04,2024-06-02,True,Gershwin Theatre
The Wiz,1379790.9,"-$96,140.65",$117.22$399.00,"11,7711,600",80,91.96,-4.89,2024-06-02,True,Marquis Theatre
Aladdin,1353019.4,"$41,569.80",$105.85$199.50,"12,7831,727",80,92.52,2.18,2024-06-09,True,New Amsterdam Theatre
Appropriate,810892.9,"$62,709.20",$117.15$328.00,"6,9221,013",80,85.41,-4.84,2024-06-09,False,Belasco Theatre
Back To The Future,1100486.6,"$143,875.03",$102.86$267.00,"10,6991,478",80,90.49,9.27,2024-06-09,False,Winter Garden Theatre
"A Beautiful Noise, The Neil Diamond Musical",941843.05,"$138,580.29",$145.82$348.00,"6,4591,153",80,70.02,13.62,2024-06-09,False,Broadhurst Theatre
Ben Platt: Live at the Palace,680805.65,"$30,499.75",$84.80$349.00,"8,0281,647",60,81.24,7.38,2024-06-09,False,Palace Theatre
The Book of Mormon,872750.56,"$34,793.28",$109.92$0.00,"7,9401,066",80,93.11,1.8,2024-06-09,False,Eugene O'Neill Theatre
Cabaret,1899832.3,"$35,574.85",$222.28$0.00,"8,5471,070",80,99.85,0.66,2024-06-09,True,August Wilson Theatre
Chicago,581119.53,"$31,872.78",$102.04$237.00,"5,6951,080",80,65.91,2.33,2024-06-09,True,Ambassador Theatre
An Enemy of the People,1047796.26,"$2,300.76",$153.64$480.00,"6,820828",80,102.96,-0.09,2024-06-09,False,Circle in the Square Theatre
The Great Gatsby,1172166.76,"$68,703.40",$105.66$277.00,"11,0941,485",80,93.38,5.69,2024-06-09,False,Broadway Theatre
Hadestown,870653.0,"$42,065.25",$117.89$0.00,"7,385918",80,100.56,3.12,2024-06-09,False,Walter Kerr Theatre
Hamilton,1905404.0,"$23,593.75",$180.95$399.00,"10,5301,324",80,99.41,1.46,2024-06-09,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1123558.4,"$44,503.20",$96.24$299.00,"11,6741,622",80,89.97,3.73,2024-06-09,False,Lyric Theatre
The Heart of Rock and Roll,272050.6,"$14,563.70",$57.91$267.00,"4,6981,054",80,55.72,-2.59,2024-06-09,False,James Earl Jones Theatre
Hell's Kitchen,1638208.3,"$77,957.50",$139.62$323.00,"11,7331,457",80,100.66,0.03,2024-06-09,True,Sam S. Shubert Theatre
Home,111564.0,"-$4,884.00",$29.70$253.00,"3,756740",61,72.51,-1.7,2024-06-09,False,Todd Haimes Theatre
Illinoise,700853.66,"-$1,157.09",$88.64$0.00,"7,9071,337",70,84.49,1.58,2024-06-09,True,St. James Theatre
The Lion King,2090663.8,"$6,625.15",$163.27$277.00,"12,8051,696",80,94.38,2.23,2024-06-09,True,Minskoff Theatre
Mary Jane,376415.0,"-$85,029.00",$84.30$299.00,"4,465643",80,86.8,-2.55,2024-06-09,False,Samuel J. Friedman Theatre
Merrily We Roll Along,1762019.0,"$613,415.80",$228.00$649.00,"7,728966",80,100.0,0.0,2024-06-09,False,Hudson Theatre
MJ The Musical,1253407.75,"$14,166.75",$134.04$329.00,"9,3511,387",80,84.27,-1.41,2024-06-09,False,Neil Simon Theatre
Mother Play,685650.25,"$157,434.25",$148.09$326.50,"4,630581",80,99.61,8.58,2024-06-09,False,Helen Hayes Theater
Moulin Rouge! The Musical,989616.82,"$29,124.50",$102.98$0.00,"9,6101,300",80,92.4,-1.04,2024-06-09,True,Al Hirschfeld Theatre
The Notebook,711410.1,"$43,929.60",$98.03$278.00,"7,2571,017",80,89.2,7.26,2024-06-09,False,Gerald Schoenfeld Theatre
The Outsiders,1101597.85,"$77,347.80",$131.79$308.00,"8,3591,024",80,102.04,1.38,2024-06-09,True,Bernard B. Jacobs Theatre
Patriots,293233.05,"$12,555.75",$57.28$273.00,"5,1191,035",80,61.82,3.85,2024-06-09,False,Ethel Barrymore Theatre
SIX: The Musical,845077.7,"$33,425.10",$114.84$249.00,"7,3591,031",80,89.22,-0.47,2024-06-09,False,Lena Horne Theatre
Stereophonic,872336.7,"$47,501.60",$140.61$348.00,"6,204778",80,99.68,1.06,2024-06-09,False,John Golden Theatre
Suffs,851814.45,"$92,547.94",$115.56$278.00,"7,371973",80,94.69,4.17,2024-06-09,False,Music Box Theatre
Uncle Vanya,1011205.0,"$276,825.00",$124.14$299.00,"8,1461,047",80,97.25,23.06,2024-06-09,False,Vivian Beaumont Theater
Water For Elephants,1019986.05,"$55,255.45",$111.88$278.00,"9,1171,385",80,82.28,2.98,2024-06-09,False,Imperial Theatre
The Who's Tommy,750391.99,"$9,264.98",$111.60$299.00,"6,7241,175",80,71.53,-1.45,2024-06-09,True,Nederlander Theatre
Wicked,2077910.0,"$96,650.00",$137.84$275.00,"15,0751,926",80,97.84,-0.99,2024-06-09,True,Gershwin Theatre
The Wiz,1372093.9,"-$7,697.00",$114.50$399.00,"11,9831,600",80,93.62,1.66,2024-06-09,True,Marquis Theatre
Aladdin,1375824.2,"$22,804.80",$105.19$199.50,"13,0801,727",80,94.67,2.15,2024-06-16,True,New Amsterdam Theatre
Appropriate,878105.1,"$67,212.20",$115.92$328.00,"7,5751,013",80,93.47,8.06,2024-06-16,False,Belasco Theatre
Back To The Future,1110021.13,"$9,534.53",$103.62$267.00,"10,7121,478",80,90.6,0.11,2024-06-16,False,Winter Garden Theatre
"A Beautiful Noise, The Neil Diamond Musical",914787.45,"-$27,055.60",$141.92$348.00,"6,4461,153",80,69.88,-0.14,2024-06-16,False,Broadhurst Theatre
Ben Platt: Live at the Palace,811245.85,"$130,440.20",$87.17$349.00,"9,3071,647",60,94.18,12.94,2024-06-16,False,Palace Theatre
The Book of Mormon,845854.32,"-$26,896.24",$107.66$0.00,"7,8571,066",80,92.13,-0.98,2024-06-16,False,Eugene O'Neill Theatre
Cabaret,1883570.5,"-$16,261.80",$220.64$0.00,"8,5371,070",80,99.73,-0.12,2024-06-16,True,August Wilson Theatre
Chicago,587550.9,"$6,431.37",$103.35$237.00,"5,6851,080",80,65.8,-0.11,2024-06-16,True,Ambassador Theatre
An Enemy of the People,1266337.9,"$218,541.64",$185.25$480.00,"6,836828",80,103.2,0.24,2024-06-16,False,Circle in the Square Theatre
The Great Gatsby,1155615.0,"-$16,551.76",$106.02$277.00,"10,9001,485",80,91.75,-1.63,2024-06-16,False,Broadway Theatre
Hadestown,878822.25,"$8,169.25",$118.97$0.00,"7,387918",80,100.59,0.03,2024-06-16,False,Walter Kerr Theatre
Hamilton,1908390.0,"$2,986.00",$180.31$399.00,"10,5841,324",80,99.92,0.51,2024-06-16,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1180829.1,"$57,270.70",$97.22$299.00,"12,1461,622",80,93.6,3.63,2024-06-16,False,Lyric Theatre
The Heart of Rock and Roll,272487.44,$436.84,$63.24$267.00,"4,3091,054",80,51.1,-4.62,2024-06-16,False,James Earl Jones Theatre
Hell's Kitchen,1687961.1,"$49,752.80",$143.42$323.00,"11,7691,457",80,100.97,0.31,2024-06-16,True,Sam S. Shubert Theatre
Home,135757.0,"$24,193.00",$36.36$253.00,"3,734740",80,63.07,-9.44,2024-06-16,False,Todd Haimes Theatre
Illinoise,758814.2,"$57,960.54",$93.23$0.00,"8,1391,337",70,86.96,2.47,2024-06-16,True,St. James Theatre
The Lion King,2216033.5,"$125,369.70",$170.52$277.00,"12,9961,696",80,95.78,1.4,2024-06-16,True,Minskoff Theatre
Mary Jane,411613.0,"$35,198.00",$89.13$299.00,"4,618643",80,89.77,2.97,2024-06-16,False,Samuel J. Friedman Theatre
Merrily We Roll Along,1843457.0,"$81,438.00",$238.54$649.00,"7,728966",80,100.0,0.0,2024-06-16,False,Hudson Theatre
MJ The Musical,1251575.75,"-$1,832.00",$131.77$329.00,"9,4981,387",80,85.6,1.33,2024-06-16,False,Neil Simon Theatre
Mother Play,718388.0,"$32,737.75",$156.31$426.50,"4,596576",80,99.72,0.11,2024-06-16,False,Helen Hayes Theater
Moulin Rouge! The Musical,957394.98,"-$32,221.84",$98.91$0.00,"9,6791,300",80,93.07,0.67,2024-06-16,True,Al Hirschfeld Theatre
The Notebook,663886.0,"-$47,524.10",$93.69$278.00,"7,0861,017",80,87.09,-2.11,2024-06-16,False,Gerald Schoenfeld Theatre
The Outsiders,1023804.28,"-$77,793.57",$139.22$308.00,"7,3541,024",70,102.59,0.55,2024-06-16,True,Bernard B. Jacobs Theatre
Patriots,329058.11,"$35,825.06",$59.90$273.00,"5,4931,035",80,66.34,4.52,2024-06-16,False,Ethel Barrymore Theatre
SIX: The Musical,938859.94,"$93,782.24",$118.41$249.00,"7,9291,031",80,96.13,6.91,2024-06-16,False,Lena Horne Theatre
Stereophonic,799579.4,"-$72,757.30",$147.17$348.00,"5,433778",70,99.76,0.08,2024-06-16,False,John Golden Theatre
Suffs,852890.7,"$1,076.25",$112.74$278.00,"7,565973",80,97.19,2.5,2024-06-16,False,Music Box Theatre
Uncle Vanya,1088875.0,"$77,670.00",$131.98$299.00,"8,2501,047",80,98.5,1.25,2024-06-16,False,Vivian Beaumont Theater
Water For Elephants,1002826.84,"-$17,159.21",$106.63$278.00,"9,4051,385",80,84.88,2.6,2024-06-16,False,Imperial Theatre
The Who's Tommy,762907.1,"$12,515.11",$111.80$299.00,"6,8241,175",80,72.6,1.07,2024-06-16,True,Nederlander Theatre
Wicked,2071557.0,"-$6,353.00",$137.98$275.00,"15,0141,926",80,97.44,-0.4,2024-06-16,True,Gershwin Theatre
The Wiz,1428387.05,"$56,293.15",$115.34$399.00,"12,3841,600",80,96.75,3.13,2024-06-16,True,Marquis Theatre
Aladdin,1431120.4,"$55,296.20",$110.01$199.50,"13,0091,727",80,94.16,-0.51,2024-06-23,True,New Amsterdam Theatre
Appropriate,926098.4,"$47,993.30",$140.49$328.00,"6,5921,013",80,81.34,-12.13,2024-06-23,False,Belasco Theatre
Back To The Future,1160495.95,"$50,474.82",$104.29$267.00,"11,1281,478",80,94.11,3.51,2024-06-23,False,Winter Garden Theatre
"A Beautiful Noise, The Neil Diamond Musical",1128552.01,"$213,764.56",$145.56$348.00,"7,7531,153",80,84.05,14.17,2024-06-23,False,Broadhurst Theatre
The Book of Mormon,950794.57,"$104,940.25",$112.95$0.00,"8,4181,066",80,98.71,6.58,2024-06-23,False,Eugene O'Neill Theatre
Cabaret,1814656.4,"-$68,914.10",$213.09$0.00,"8,5161,070",80,99.49,-0.24,2024-06-23,True,August Wilson Theatre
Chicago,550977.83,"-$36,573.07",$100.82$237.00,"5,4651,080",80,63.25,-2.55,2024-06-23,True,Ambassador Theatre
An Enemy of the People,1545913.0,"$279,575.10",$226.04$480.00,"6,839828",80,103.25,0.05,2024-06-23,False,Circle in the Square Theatre
The Great Gatsby,1333400.8,"$177,785.80",$114.19$277.00,"11,6771,485",80,98.29,6.54,2024-06-23,False,Broadway Theatre
Hadestown,917599.15,"$38,776.90",$123.82$0.00,"7,411918",80,100.91,0.32,2024-06-23,False,Walter Kerr Theatre
Hamilton,1972882.0,"$64,492.00",$185.26$399.00,"10,6491,324",80,100.54,0.62,2024-06-23,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1339396.4,"$158,567.30",$109.21$299.00,"12,2641,622",80,94.51,0.91,2024-06-23,False,Lyric Theatre
The Heart of Rock and Roll,400521.2,"$128,033.76",$69.87$267.00,"5,7321,054",80,67.98,16.88,2024-06-23,False,James Earl Jones Theatre
Hell's Kitchen,1800887.57,"$112,926.47",$152.41$323.00,"11,8161,457",80,101.37,0.4,2024-06-23,True,Sam S. Shubert Theatre
Home,145774.0,"$10,017.00",$32.40$293.00,"4,499740",80,76.0,12.93,2024-06-23,False,Todd Haimes Theatre
Illinoise,847502.15,"$88,687.95",$99.33$0.00,"8,5321,337",70,91.16,4.2,2024-06-23,True,St. James Theatre
The Lion King,2282098.1,"$66,064.60",$173.57$277.00,"13,1481,696",80,96.9,1.12,2024-06-23,True,Minskoff Theatre
Mary Jane,331088.0,"-$80,525.00",$78.03$319.00,"4,243643",70,94.27,4.5,2024-06-23,False,Samuel J. Friedman Theatre
Merrily We Roll Along,2173254.0,"$329,797.00",$281.22$649.00,"7,728966",80,100.0,0.0,2024-06-23,False,Hudson Theatre
MJ The Musical,1352978.0,"$101,402.25",$137.04$329.00,"9,8731,387",80,88.98,3.38,2024-06-23,False,Neil Simon Theatre
Moulin Rouge! The Musical,1020715.48,"$63,320.50",$102.40$0.00,"9,9681,300",80,95.85,2.78,2024-06-23,True,Al Hirschfeld Theatre
The Notebook,760670.0,"$96,784.00",$101.46$278.00,"7,4971,017",80,92.15,5.06,2024-06-23,False,Gerald Schoenfeld Theatre
The Outsiders,1307256.82,"$283,452.54",$156.05$328.00,"8,3771,024",80,102.26,-0.33,2024-06-23,True,Bernard B. Jacobs Theatre
Patriots,452356.6,"$123,298.49",$64.25$273.00,"7,0411,035",80,85.04,18.7,2024-06-23,False,Ethel Barrymore Theatre
SIX: The Musical,989765.65,"$50,905.71",$123.57$249.00,"8,0101,031",80,97.11,0.98,2024-06-23,False,Lena Horne Theatre
Stereophonic,1018114.7,"$218,535.30",$164.27$448.00,"6,198778",80,99.58,-0.18,2024-06-23,False,John Golden Theatre
Suffs,942785.35,"$89,894.65",$119.96$278.00,"7,859973",80,100.96,3.77,2024-06-23,False,Music Box Theatre
Water For Elephants,1123677.91,"$120,851.07",$116.78$278.00,"9,6221,385",80,86.84,1.96,2024-06-23,False,Imperial Theatre
The Who's Tommy,794967.46,"$32,060.36",$108.07$299.00,"7,3561,175",80,78.26,5.66,2024-06-23,True,Nederlander Theatre
Wicked,2222692.0,"$151,135.00",$145.54$275.00,"15,2721,926",80,99.12,1.68,2024-06-23,True,Gershwin Theatre
The Wiz,1481207.6,"$52,820.55",$118.39$399.00,"12,5111,600",80,97.74,0.99,2024-06-23,True,Marquis Theatre
Aladdin,1398627.5,"-$32,492.90",$107.63$239.50,"12,9951,727",80,94.06,-0.1,2024-06-30,True,New Amsterdam Theatre
Appropriate,1167209.12,"$241,110.72",$145.97$378.00,"7,9961,013",80,98.67,17.33,2024-06-30,False,Belasco Theatre
Back To The Future,1057474.25,"-$103,021.70",$99.86$267.00,"10,5901,478",80,89.56,-4.55,2024-06-30,False,Winter Garden Theatre
"A Beautiful Noise, The Neil Diamond Musical",1223279.27,"$94,727.26",$153.02$348.00,"7,9941,153",80,86.67,2.62,2024-06-30,False,Broadhurst Theatre
The Book of Mormon,903585.81,"-$47,208.76",$108.56$0.00,"8,3231,066",80,97.6,-1.11,2024-06-30,False,Eugene O'Neill Theatre
Cabaret,1810907.48,"-$3,748.92",$214.89$0.00,"8,4271,070",80,98.45,-1.04,2024-06-30,True,August Wilson Theatre
Chicago,838006.85,"$287,029.02",$115.84$247.00,"7,2341,080",80,83.73,20.48,2024-06-30,True,Ambassador Theatre
The Great Gatsby,1271712.45,"-$61,688.35",$109.16$277.00,"11,6501,485",80,98.06,-0.23,2024-06-30,False,Broadway Theatre
Hadestown,968668.2,"$51,069.05",$131.31$0.00,"7,377918",80,100.45,-0.46,2024-06-30,False,Walter Kerr Theatre
Hamilton,1955004.0,"-$17,878.00",$182.69$399.00,"10,7011,324",80,101.03,0.49,2024-06-30,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1257612.9,"-$81,783.50",$111.57$299.00,"11,2721,622",80,86.87,-7.64,2024-06-30,False,Lyric Theatre
Hell's Kitchen,1549471.79,"-$251,415.78",$132.20$323.00,"11,7211,457",80,100.56,-0.81,2024-06-30,True,Sam S. Shubert Theatre
Home,115763.0,"-$30,011.00",$27.79$248.00,"4,165740",70,80.41,4.41,2024-06-30,False,Todd Haimes Theatre
Illinoise,719153.89,"-$128,348.26",$89.17$0.00,"8,0651,337",70,86.17,-4.99,2024-06-30,True,St. James Theatre
The Lion King,2263592.7,"-$18,505.40",$171.98$277.00,"13,1621,696",80,97.01,0.11,2024-06-30,True,Minskoff Theatre
Mary Jane,324007.0,"-$7,081.00",$88.62$319.00,"3,656643",70,81.23,-13.04,2024-06-30,False,Samuel J. Friedman Theatre
Merrily We Roll Along,2321807.0,"$148,553.00",$300.44$649.00,"7,728966",80,100.0,0.0,2024-06-30,False,Hudson Theatre
MJ The Musical,1336054.75,"-$16,923.25",$137.60$329.00,"9,7101,387",80,87.51,-1.47,2024-06-30,False,Neil Simon Theatre
Moulin Rouge! The Musical,1005140.99,"-$15,574.49",$100.12$0.00,"10,0391,300",80,96.53,0.68,2024-06-30,True,Al Hirschfeld Theatre
The Notebook,726391.7,"-$34,278.30",$97.25$278.00,"7,4691,017",80,91.8,-0.35,2024-06-30,False,Gerald Schoenfeld Theatre
"Oh, Mary!",420648.0,$0.00,$97.35$298.00,"4,321902",5,95.81,0.0,2024-06-30,False,Lyceum Theatre
The Outsiders,1338555.7,"$31,298.88",$159.47$328.00,"8,3941,024",80,102.47,0.21,2024-06-30,True,Bernard B. Jacobs Theatre
SIX: The Musical,915258.83,"-$74,506.82",$114.88$249.00,"7,9671,031",80,96.59,-0.52,2024-06-30,False,Lena Horne Theatre
Stereophonic,993858.7,"-$24,256.00",$160.77$448.00,"6,182778",80,99.33,-0.25,2024-06-30,False,John Golden Theatre
Suffs,871238.31,"-$71,547.04",$113.98$278.00,"7,644973",80,98.2,-2.76,2024-06-30,False,Music Box Theatre
Water For Elephants,969252.65,"-$154,425.26",$114.00$278.00,"8,5021,385",80,76.73,-10.11,2024-06-30,False,Imperial Theatre
The Who's Tommy,654605.71,"-$140,361.75",$98.29$299.00,"6,6601,175",80,70.85,-7.41,2024-06-30,True,Nederlander Theatre
Wicked,2143556.0,"-$79,136.00",$142.61$275.00,"15,0311,926",80,97.55,-1.57,2024-06-30,True,Gershwin Theatre
The Wiz,1313268.85,"-$167,938.75",$111.39$399.00,"11,7901,600",80,92.11,-5.63,2024-06-30,True,Marquis Theatre
Aladdin,1557508.0,"$158,880.50",$116.93$215.50,"13,3201,727",80,96.41,2.35,2024-07-07,True,New Amsterdam Theatre
Back To The Future,1095536.33,"$38,062.08",$96.30$247.00,"11,3761,478",80,96.21,6.65,2024-07-07,False,Winter Garden Theatre
The Book of Mormon,911842.2,"$8,256.39",$109.19$0.00,"8,3511,066",80,97.92,0.32,2024-07-07,False,Eugene O'Neill Theatre
Cabaret,1566475.55,"-$244,431.93",$185.18$0.00,"8,4591,070",80,98.82,0.37,2024-07-07,True,August Wilson Theatre
Chicago,822515.33,"-$15,491.52",$116.27$247.00,"7,0741,080",80,81.88,-1.85,2024-07-07,True,Ambassador Theatre
The Great Gatsby,1129274.17,"-$142,438.28",$97.08$277.00,"11,6321,485",80,97.91,-0.15,2024-07-07,False,Broadway Theatre
Hadestown,803228.5,"-$165,439.70",$109.03$0.00,"7,367918",80,100.31,-0.14,2024-07-07,False,Walter Kerr Theatre
Hamilton,1926140.0,"-$28,864.00",$179.85$399.00,"10,7101,324",80,101.11,0.08,2024-07-07,False,Richard Rodgers Theatre
Harry Potter and the Cursed Child,1403895.8,"$146,282.90",$115.59$299.00,"12,1451,622",80,93.6,6.73,2024-07-07,False,Lyric Theatre
Hell's Kitchen,1526851.73,"-$22,620.06",$130.60$323.00,"11,6911,457",80,100.3,-0.26,2024-07-07,True,Sam S. Shubert Theatre
Home,71137.6,"-$44,625.40",$25.71$248.00,"2,767740",40,93.48,13.07,2024-07-07,False,Todd Haimes Theatre
Illinoise,699215.08,"-$19,938.81",$81.11$0.00,"8,6211,337",70,92.11,5.94,2024-07-07,True,St. James Theatre
The Lion King,2463403.4,"$199,810.70",$185.01$277.00,"13,3151,696",80,98.14,1.13,2024-07-07,True,Minskoff Theatre
Merrily We Roll Along,2766127.0,"$444,320.00",$357.94$949.00,"7,728966",80,100.0,0.0,2024-07-07,False,Hudson Theatre
MJ The Musical,1292979.25,"-$43,075.50",$127.54$329.00,"10,1381,387",80,91.37,3.86,2024-07-07,False,Neil Simon Theatre
Moulin Rouge! The Musical,951989.45,"-$53,151.54",$94.51$0.00,"10,0731,300",80,96.86,0.33,2024-07-07,True,Al Hirschfeld Theatre
The Notebook,645848.68,"-$80,543.02",$82.84$209.00,"7,7961,017",80,95.82,4.02,2024-07-07,False,Gerald Schoenfeld Theatre
"Oh, Mary!",676213.0,"$255,565.00",$125.92$298.00,"5,370895",6,100.0,4.19,2024-07-07,False,Lyceum Theatre
The Outsiders,1375671.8,"$37,116.10",$163.99$328.00,"8,3891,024",80,102.4,-0.07,2024-07-07,True,Bernard B. Jacobs Theatre
SIX: The Musical,903447.5,"-$11,811.33",$112.72$249.00,"8,0151,031",80,97.18,0.59,2024-07-07,False,Lena Horne Theatre
